voc_id,customer_id,received_date,channel,voc_type,category,content,sentiment
V0001,C001,2024-01-30,앱리뷰,문의,품질,품질 관련하여 문의 사항을 전달드립니다.,중립
V0002,C001,2024-09-17,고객센터전화,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0003,C001,2024-06-10,앱리뷰,불만,요금,이번 달 요금이 갑자기 많이 나왔어요. 설명 없이 올린 건가요?,부정
V0004,C002,2024-03-25,SNS,불만,요금,요금제 변경했는데 다음 달에도 기존 요금이 청구됐어요. 환불해 주세요.,부정
V0005,C002,2024-12-14,이메일,제안,해지관련,해지관련 관련하여 제안 사항을 전달드립니다.,중립
V0006,C003,2024-07-13,고객센터전화,문의,서비스,현재 가입된 부가서비스 목록을 어디서 확인하나요?,중립
V0007,C003,2024-11-01,앱리뷰,불만,품질,통화 중에 자꾸 끊깁니다. 몇 번을 신고해도 나아지질 않네요.,부정
V0008,C003,2024-03-22,이메일,문의,앱기능,앱기능 관련하여 문의 사항을 전달드립니다.,중립
V0009,C003,2024-06-11,고객센터전화,문의,요금,이번 달 요금이 어떻게 구성된 건지 자세히 알고 싶어요.,중립
V0010,C004,2024-05-21,고객센터전화,불만,요금,요금제 변경했는데 다음 달에도 기존 요금이 청구됐어요. 환불해 주세요.,부정
V0011,C005,2024-07-14,앱리뷰,문의,품질,품질 관련하여 문의 사항을 전달드립니다.,중립
V0012,C006,2024-03-30,고객센터전화,문의,요금,이번 달 요금이 어떻게 구성된 건지 자세히 알고 싶어요.,중립
V0013,C006,2024-04-20,고객센터전화,불만,기타,기타 관련하여 불만 사항을 전달드립니다.,부정
V0014,C007,2024-05-03,SNS,제안,해지관련,해지관련 관련하여 제안 사항을 전달드립니다.,중립
V0015,C007,2024-05-13,이메일,불만,요금,자동이체가 제대로 안 되는데 연체료까지 붙었어요. 너무 황당합니다.,부정
V0016,C007,2024-11-14,앱리뷰,문의,서비스,해외 로밍 서비스 신청 방법이 궁금합니다.,중립
V0017,C007,2024-01-03,고객센터전화,문의,요금,이번 달 요금이 어떻게 구성된 건지 자세히 알고 싶어요.,중립
V0018,C008,2024-12-25,SNS,칭찬,품질,품질 관련하여 칭찬 사항을 전달드립니다.,긍정
V0019,C008,2024-03-26,고객센터전화,칭찬,요금,요금 관련하여 칭찬 사항을 전달드립니다.,긍정
V0020,C008,2024-09-28,고객센터전화,불만,앱기능,앱에서 요금 명세서를 찾을 수가 없어요. UI가 너무 불편해요.,부정
V0021,C008,2024-01-29,이메일,제안,품질,품질 관련하여 제안 사항을 전달드립니다.,중립
V0022,C009,2024-12-08,앱리뷰,칭찬,서비스,앱 업데이트 후 많이 편해졌어요. 개발팀 수고하셨습니다.,긍정
